Name	Staphylococcaceae	Enterobacteriaceae	Enterococcaceae	Bacillaceae	Moraxellaceae	Pseudomonadaceae	Actinomycetaceae	Morganellaceae	Streptococcaceae	Campylobacteraceae	Corynebacteriaceae	Burkholderiaceae	Aerococcaceae	Yersiniaceae	Flavobacteriaceae	Bacteroidaceae	Paenibacillaceae	Bacillales_unclassified	Pasteurellaceae	Eggerthellaceae	family	sra_abundance
ERR600010	0.38493	99.61507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	0.38
phylum	Firmicutes	Proteobacteria	Firmicutes	Firmicutes	Proteobacteria	Proteobacteria	Actinobacteria	Proteobacteria	Firmicutes	Proteobacteria	Actinobacteria	Proteobacteria	Firmicutes	Proteobacteria	Bacteroidota	Bacteroidota	Firmicutes	Firmicutes	Proteobacteria	Actinobacteria	NA	0
SRR015776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	Enterobacteriaceae	0
SRR015777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	Enterobacteriaceae	0
SRR073394	89.07322	0	0	0	10.92678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	89.07
SRR073395	90.01706	0	0	0	9.98294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	90.02
SRR073421	98.51881	1.48119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	98.52
SRR090139	99.76186	0.23814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	99.76
SRR090222	99.76186	0.23814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	99.76
SRR090228	99.76186	0.23814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	99.76
SRR1025080	85.75909	0	0	0	0	0	0	0	0	0	14.24091	0	0	0	0	0	0	0	0	0	Staphylococcaceae	85.76
SRR1025081	86.18911	0	0	0	0	0	0	0	0	0	13.81089	0	0	0	0	0	0	0	0	0	Staphylococcaceae	86.19
SRR1147093	10.7458	0	0	0	0	0	0	0	89.2542	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	89.25
SRR1147586	11.03616	0	0	0	0	0	0	0	88.96384	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	88.96
SRR1149009	7.1032	0	0	0	0	0	0	0	92.8968	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	92.9
SRR1149243	7.68043	0	0	0.00726	0	0	0	0	92.31231	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	92.31
SRR1149249	4.26564	0	0	0	0	0	0	0	95.73436	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	95.73
SRR1149267	1.32368	0	0	0	0	0	0	0	98.67632	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	98.68
SRR1149275	4.80391	0	0	0	0	0	0	0	95.19609	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	95.2
SRR1149278	7.0445	0	0	0	0	0	0	0	92.9555	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	92.96
SRR1149286	3.22693	0	0	0	0	0	0	0	96.77307	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	96.77
SRR1149291	2.78531	0	0	0	0	0	0	0	97.21469	0	0	0	0	0	0	0	0	0	0	0	Streptococcaceae	97.21
SRR1172621	0.19616	99.80384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	0.2
SRR1175239	0.21849	99.78151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	0.22
SRR136564	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	0
SRR1522511	93.77483	0	0	0	0	0	0	0	0.0013	0	6.22128	0	0	0	0	0	0.00259	0	0	0	Staphylococcaceae	93.77
SRR1522630	99.69607	0	0	0	0	0	0	0	0	0	0.30393	0	0	0	0	0	0	0	0	0	Staphylococcaceae	99.7
SRR1655262	94.2173	5.7827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	94.22
SRR1655268	94.77013	5.22987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	94.77
SRR1655284	74.61874	25.38126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	74.62
