Name	Staphylococcaceae	Enterobacteriaceae	Enterococcaceae	Bacillaceae	Moraxellaceae	Pseudomonadaceae	Actinomycetaceae	Morganellaceae	Streptococcaceae	Corynebacteriaceae	Flavobacteriaceae	Bacteroidaceae	Pasteurellaceae	Eggerthellaceae	sra_abundance	family	SRA_Agreement
ERR505371	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.06	Staphylococcaceae	Mismatch
ERR505376	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.04	Staphylococcaceae	Mismatch
ERR573329	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1.76	Staphylococcaceae	Mismatch
ERR573337	1	0	0	0	1	0	0	0	0	0	0	0	0	0	65.16	Staphylococcaceae	5-80%
ERR594079	1	1	0	0	0	0	0	0	0	0	0	0	0	0	94.65	Staphylococcaceae	80-95%
ERR600010	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.38	Staphylococcaceae	Mismatch
SRR015776	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Enterobacteriaceae	Mismatch
SRR015777	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Enterobacteriaceae	Mismatch
SRR073394	1	0	0	0	1	0	0	0	0	0	0	0	0	0	89.07	Staphylococcaceae	80-95%
SRR073395	1	0	0	0	1	0	0	0	0	0	0	0	0	0	90.02	Staphylococcaceae	80-95%
SRR073421	1	0	0	0	0	0	0	0	0	0	0	0	0	0	98.52	Staphylococcaceae	95-100%
SRR090139	1	0	0	0	0	0	0	0	0	0	0	0	0	0	99.76	Staphylococcaceae	95-100%
SRR090222	1	0	0	0	0	0	0	0	0	0	0	0	0	0	99.76	Staphylococcaceae	95-100%
SRR090228	1	0	0	0	0	0	0	0	0	0	0	0	0	0	99.76	Staphylococcaceae	95-100%
SRR1025080	1	0	0	0	0	0	0	0	0	1	0	0	0	0	85.76	Staphylococcaceae	80-95%
SRR1025081	1	0	0	0	0	0	0	0	0	1	0	0	0	0	86.19	Staphylococcaceae	80-95%
SRR1147093	1	0	0	0	0	0	0	0	1	0	0	0	0	0	89.25	Streptococcaceae	80-95%
SRR1147586	1	0	0	0	0	0	0	0	1	0	0	0	0	0	88.96	Streptococcaceae	80-95%
